Overriding config with config/exp3_heads.py:
# Experiment 3 - Attention head sweep
# Vary: n_head ∈ {4, 8, 16, 32}
# Fixed: n_layer = 6, n_embd = 256, dropout = 0.0

out_dir = 'out-exp3-heads'
eval_interval = 250
eval_iters = 200
log_interval = 10

always_save_checkpoint = False

wandb_log = False
wandb_project = 'tinystories'
wandb_run_name = 'exp3-heads'

dataset = 'tinystories'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256

# baby GPT model
n_layer = 6
n_head = 8  # overridden via command line
n_embd = 256
dropout = 0.0

learning_rate = 1e-3
max_iters = 5000
lr_decay_iters = 5000
min_lr = 1e-4
beta2 = 0.99

warmup_iters = 100

device = 'mps'
compile = False

Overriding: out_dir = out-exp3-head32
Overriding: n_head = 32
Overriding: wandb_run_name = exp3-head32
tokens per iteration will be: 16,384
found vocab_size = 228 (inside data/tinystories/meta.pkl)
Initializing a new model from scratch
number of parameters: 4.78M
/Users/fredrik/Developer/uit/nanoGPT/train.py:196: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
/Users/fredrik/Developer/uit/nanoGPT/.venv/lib/python3.12/site-packages/torch/cuda/amp/grad_scaler.py:31: UserWarning: torch.cuda.amp.GradScaler is enabled, but CUDA is not available.  Disabling.
  super().__init__(
num decayed parameter tensors: 26, with 4,842,496 parameters
num non-decayed parameter tensors: 13, with 3,328 parameters
iter 330: loss 1.3992, time 605.38ms, mfu 0.27%
iter 340: loss 1.3717, time 601.17ms, mfu 0.28%
iter 350: loss 1.3899, time 604.34ms, mfu 0.28%
iter 360: loss 1.2830, time 600.54ms, mfu 0.28%
iter 370: loss 1.3316, time 613.14ms, mfu 0.28%
iter 380: loss 1.2924, time 600.80ms, mfu 0.28%
iter 390: loss 1.2366, time 607.79ms, mfu 0.28%
iter 400: loss 1.2633, time 613.52ms, mfu 0.28%
iter 410: loss 1.2384, time 605.70ms, mfu 0.28%
iter 420: loss 1.2213, time 671.88ms, mfu 0.28%
iter 430: loss 1.1667, time 651.23ms, mfu 0.28%
iter 440: loss 1.1531, time 652.08ms, mfu 0.28%
iter 450: loss 1.2007, time 647.51ms, mfu 0.28%
iter 460: loss 1.1954, time 649.27ms, mfu 0.28%
iter 470: loss 1.1603, time 651.34ms, mfu 0.28%
iter 480: loss 1.1350, time 652.11ms, mfu 0.28%
iter 490: loss 1.1226, time 648.64ms, mfu 0.27%
step 500: train loss 1.1097, val loss 1.1102
saving checkpoint to out-exp3-head32
iter 500: loss 1.1426, time 91022.25ms, mfu 0.25%
iter 510: loss 1.1012, time 644.53ms, mfu 0.25%
iter 520: loss 1.0566, time 647.53ms, mfu 0.25%
iter 530: loss 1.0650, time 647.90ms, mfu 0.25%
iter 540: loss 1.0992, time 655.41ms, mfu 0.26%
iter 550: loss 1.0573, time 647.85ms, mfu 0.26%
iter 560: loss 1.0522, time 651.09ms, mfu 0.26%
iter 570: loss 1.0190, time 647.62ms, mfu 0.26%
iter 580: loss 1.0777, time 646.44ms, mfu 0.26%
iter 590: loss 1.0336, time 641.86ms, mfu 0.26%
iter 600: loss 1.0263, time 649.13ms, mfu 0.26%
iter 610: loss 1.0371, time 638.06ms, mfu 0.26%
iter 620: loss 0.9735, time 631.09ms, mfu 0.27%
iter 630: loss 1.0512, time 646.08ms, mfu 0.27%
iter 640: loss 1.0142, time 643.26ms, mfu 0.27%
iter 650: loss 1.0207, time 684.08ms, mfu 0.27%
iter 660: loss 0.9897, time 647.77ms, mfu 0.27%
iter 670: loss 0.9847, time 649.47ms, mfu 0.27%
iter 680: loss 0.9717, time 692.63ms, mfu 0.27%
iter 690: loss 1.0222, time 651.81ms, mfu 0.27%
iter 700: loss 0.9623, time 652.05ms, mfu 0.27%
iter 710: loss 0.9434, time 640.04ms, mfu 0.27%
iter 720: loss 0.9786, time 659.45ms, mfu 0.27%
iter 730: loss 0.9132, time 643.46ms, mfu 0.27%
iter 740: loss 0.9595, time 648.64ms, mfu 0.27%
step 750: train loss 0.9407, val loss 0.9393
saving checkpoint to out-exp3-head32
iter 750: loss 0.9571, time 91065.05ms, mfu 0.24%
iter 760: loss 0.9488, time 647.12ms, mfu 0.24%
iter 770: loss 0.9155, time 642.10ms, mfu 0.25%
iter 780: loss 0.9390, time 645.84ms, mfu 0.25%
iter 790: loss 0.9075, time 651.29ms, mfu 0.25%
iter 800: loss 0.9198, time 644.75ms, mfu 0.25%
iter 810: loss 0.9285, time 650.27ms, mfu 0.26%
iter 820: loss 0.8835, time 646.84ms, mfu 0.26%
iter 830: loss 0.9632, time 639.82ms, mfu 0.26%
iter 840: loss 0.9584, time 657.23ms, mfu 0.26%
iter 850: loss 0.9236, time 650.29ms, mfu 0.26%
iter 860: loss 0.9248, time 651.34ms, mfu 0.26%
iter 870: loss 0.9261, time 644.56ms, mfu 0.26%
iter 880: loss 0.8537, time 634.69ms, mfu 0.26%
iter 890: loss 0.8785, time 646.32ms, mfu 0.26%
iter 900: loss 0.9136, time 645.77ms, mfu 0.27%
iter 910: loss 0.8626, time 650.23ms, mfu 0.27%
iter 920: loss 0.9156, time 647.90ms, mfu 0.27%
iter 930: loss 0.9009, time 648.51ms, mfu 0.27%
iter 940: loss 0.8756, time 663.09ms, mfu 0.27%
iter 950: loss 0.8603, time 652.33ms, mfu 0.27%
iter 960: loss 0.8929, time 643.13ms, mfu 0.27%
iter 970: loss 0.8222, time 660.37ms, mfu 0.27%
iter 980: loss 0.8638, time 587.58ms, mfu 0.27%
iter 990: loss 0.8936, time 578.91ms, mfu 0.27%
step 1000: train loss 0.8615, val loss 0.8607
saving checkpoint to out-exp3-head32
iter 1000: loss 0.8302, time 81175.90ms, mfu 0.25%
iter 1010: loss 0.8244, time 569.30ms, mfu 0.25%
iter 1020: loss 0.8950, time 576.87ms, mfu 0.26%
iter 1030: loss 0.8057, time 577.27ms, mfu 0.26%
iter 1040: loss 0.8501, time 580.52ms, mfu 0.27%
iter 1050: loss 0.8438, time 604.55ms, mfu 0.27%
iter 1060: loss 0.8177, time 627.06ms, mfu 0.27%
iter 1070: loss 0.8560, time 604.43ms, mfu 0.27%
iter 1080: loss 0.8584, time 612.23ms, mfu 0.27%
iter 1090: loss 0.8960, time 621.75ms, mfu 0.27%
iter 1100: loss 0.8419, time 609.56ms, mfu 0.28%
iter 1110: loss 0.7991, time 602.11ms, mfu 0.28%
iter 1120: loss 0.8577, time 609.59ms, mfu 0.28%
iter 1130: loss 0.8555, time 615.51ms, mfu 0.28%
iter 1140: loss 0.8401, time 609.49ms, mfu 0.28%
iter 1150: loss 0.8191, time 615.96ms, mfu 0.28%
iter 1160: loss 0.8298, time 627.84ms, mfu 0.28%
iter 1170: loss 0.8157, time 612.75ms, mfu 0.28%
iter 1180: loss 0.8143, time 620.61ms, mfu 0.28%
iter 1190: loss 0.8176, time 612.41ms, mfu 0.28%
iter 1200: loss 0.8300, time 605.61ms, mfu 0.28%
iter 1210: loss 0.8246, time 601.33ms, mfu 0.28%
iter 1220: loss 0.7892, time 657.46ms, mfu 0.28%
iter 1230: loss 0.8163, time 666.86ms, mfu 0.28%
iter 1240: loss 0.8221, time 653.53ms, mfu 0.28%
step 1250: train loss 0.8121, val loss 0.8097
saving checkpoint to out-exp3-head32
iter 1250: loss 0.8337, time 91680.84ms, mfu 0.25%
iter 1260: loss 0.7945, time 650.81ms, mfu 0.25%
iter 1270: loss 0.7956, time 650.37ms, mfu 0.25%
iter 1280: loss 0.8194, time 644.86ms, mfu 0.26%
iter 1290: loss 0.7902, time 654.04ms, mfu 0.26%
iter 1300: loss 0.8033, time 651.12ms, mfu 0.26%
iter 1310: loss 0.7706, time 648.17ms, mfu 0.26%
iter 1320: loss 0.8052, time 652.83ms, mfu 0.26%
iter 1330: loss 0.8182, time 648.37ms, mfu 0.26%
iter 1340: loss 0.8010, time 687.63ms, mfu 0.26%
iter 1350: loss 0.7895, time 642.49ms, mfu 0.26%
iter 1360: loss 0.8231, time 641.90ms, mfu 0.26%
iter 1370: loss 0.7581, time 638.29ms, mfu 0.26%
iter 1380: loss 0.7762, time 645.87ms, mfu 0.27%
iter 1390: loss 0.8041, time 644.88ms, mfu 0.27%
iter 1400: loss 0.7676, time 646.18ms, mfu 0.27%
iter 1410: loss 0.7702, time 654.38ms, mfu 0.27%
iter 1420: loss 0.7326, time 642.70ms, mfu 0.27%
iter 1430: loss 0.7828, time 642.16ms, mfu 0.27%
iter 1440: loss 0.7882, time 646.12ms, mfu 0.27%
iter 1450: loss 0.7467, time 668.50ms, mfu 0.27%
iter 1460: loss 0.7522, time 644.46ms, mfu 0.27%
iter 1470: loss 0.7696, time 638.33ms, mfu 0.27%
iter 1480: loss 0.7726, time 642.07ms, mfu 0.27%
iter 1490: loss 0.7711, time 635.86ms, mfu 0.27%
step 1500: train loss 0.7732, val loss 0.7724
saving checkpoint to out-exp3-head32
iter 1500: loss 0.7950, time 91337.39ms, mfu 0.24%
iter 1510: loss 0.7569, time 645.01ms, mfu 0.25%
iter 1520: loss 0.8019, time 648.63ms, mfu 0.25%
iter 1530: loss 0.7738, time 640.76ms, mfu 0.25%
iter 1540: loss 0.7714, time 645.09ms, mfu 0.25%
iter 1550: loss 0.7995, time 649.95ms, mfu 0.25%
iter 1560: loss 0.7546, time 642.40ms, mfu 0.26%
iter 1570: loss 0.7705, time 645.92ms, mfu 0.26%
iter 1580: loss 0.7631, time 642.76ms, mfu 0.26%
iter 1590: loss 0.7621, time 639.02ms, mfu 0.26%
iter 1600: loss 0.7530, time 660.93ms, mfu 0.26%
iter 1610: loss 0.7516, time 646.20ms, mfu 0.26%
iter 1620: loss 0.7817, time 641.46ms, mfu 0.26%
iter 1630: loss 0.7505, time 650.49ms, mfu 0.26%
iter 1640: loss 0.7611, time 644.43ms, mfu 0.26%
iter 1650: loss 0.7188, time 641.17ms, mfu 0.27%
iter 1660: loss 0.7454, time 643.44ms, mfu 0.27%
iter 1670: loss 0.7441, time 644.36ms, mfu 0.27%
iter 1680: loss 0.7338, time 649.56ms, mfu 0.27%
iter 1690: loss 0.7900, time 648.43ms, mfu 0.27%
iter 1700: loss 0.7683, time 696.72ms, mfu 0.27%
iter 1710: loss 0.7320, time 644.97ms, mfu 0.27%
iter 1720: loss 0.7536, time 649.47ms, mfu 0.27%
iter 1730: loss 0.6975, time 649.64ms, mfu 0.27%
iter 1740: loss 0.7700, time 646.27ms, mfu 0.27%
step 1750: train loss 0.7463, val loss 0.7485
saving checkpoint to out-exp3-head32
iter 1750: loss 0.7418, time 83240.04ms, mfu 0.24%
iter 1760: loss 0.7227, time 587.68ms, mfu 0.25%
iter 1770: loss 0.7407, time 579.29ms, mfu 0.25%
iter 1780: loss 0.7521, time 571.98ms, mfu 0.26%
iter 1790: loss 0.7566, time 575.77ms, mfu 0.26%
iter 1800: loss 0.7276, time 578.52ms, mfu 0.27%
iter 1810: loss 0.7490, time 578.70ms, mfu 0.27%
iter 1820: loss 0.7511, time 581.62ms, mfu 0.27%
iter 1830: loss 0.7512, time 575.03ms, mfu 0.28%
iter 1840: loss 0.7405, time 579.09ms, mfu 0.28%
iter 1850: loss 0.7476, time 581.11ms, mfu 0.28%
iter 1860: loss 0.7387, time 576.65ms, mfu 0.28%
iter 1870: loss 0.7725, time 576.99ms, mfu 0.29%
iter 1880: loss 0.7072, time 577.66ms, mfu 0.29%
iter 1890: loss 0.7537, time 585.19ms, mfu 0.29%
iter 1900: loss 0.6949, time 581.64ms, mfu 0.29%
iter 1910: loss 0.7283, time 580.87ms, mfu 0.29%
iter 1920: loss 0.7406, time 577.49ms, mfu 0.29%
iter 1930: loss 0.7526, time 581.75ms, mfu 0.29%
iter 1940: loss 0.7166, time 585.96ms, mfu 0.29%
iter 1950: loss 0.7376, time 588.84ms, mfu 0.29%
iter 1960: loss 0.7385, time 578.28ms, mfu 0.30%
iter 1970: loss 0.7132, time 575.42ms, mfu 0.30%
iter 1980: loss 0.7403, time 593.74ms, mfu 0.30%
iter 1990: loss 0.7333, time 580.30ms, mfu 0.30%
step 2000: train loss 0.7251, val loss 0.7232
saving checkpoint to out-exp3-head32
iter 2000: loss 0.7113, time 82614.44ms, mfu 0.27%
iter 2010: loss 0.7238, time 582.34ms, mfu 0.27%
iter 2020: loss 0.6858, time 584.28ms, mfu 0.27%
iter 2030: loss 0.7395, time 578.65ms, mfu 0.28%
iter 2040: loss 0.7306, time 579.87ms, mfu 0.28%
iter 2050: loss 0.6667, time 582.25ms, mfu 0.28%
iter 2060: loss 0.7455, time 584.45ms, mfu 0.28%
iter 2070: loss 0.6751, time 593.61ms, mfu 0.28%
iter 2080: loss 0.7245, time 581.99ms, mfu 0.29%
iter 2090: loss 0.6808, time 590.96ms, mfu 0.29%
iter 2100: loss 0.6833, time 582.91ms, mfu 0.29%
iter 2110: loss 0.7143, time 582.08ms, mfu 0.29%
iter 2120: loss 0.7134, time 595.14ms, mfu 0.29%
iter 2130: loss 0.7366, time 582.19ms, mfu 0.29%
iter 2140: loss 0.7198, time 580.34ms, mfu 0.29%
iter 2150: loss 0.7277, time 579.95ms, mfu 0.29%
iter 2160: loss 0.7422, time 579.61ms, mfu 0.29%
iter 2170: loss 0.7194, time 585.69ms, mfu 0.29%
iter 2180: loss 0.6996, time 588.55ms, mfu 0.30%
iter 2190: loss 0.7011, time 580.35ms, mfu 0.30%
iter 2200: loss 0.6914, time 577.45ms, mfu 0.30%
iter 2210: loss 0.7200, time 581.15ms, mfu 0.30%
iter 2220: loss 0.7075, time 582.31ms, mfu 0.30%
iter 2230: loss 0.6904, time 583.36ms, mfu 0.30%
iter 2240: loss 0.6894, time 584.30ms, mfu 0.30%
step 2250: train loss 0.7012, val loss 0.6994
saving checkpoint to out-exp3-head32
iter 2250: loss 0.6658, time 82426.48ms, mfu 0.27%
iter 2260: loss 0.7346, time 578.31ms, mfu 0.27%
iter 2270: loss 0.6900, time 602.06ms, mfu 0.27%
iter 2280: loss 0.7172, time 585.83ms, mfu 0.28%
iter 2290: loss 0.6894, time 577.32ms, mfu 0.28%
iter 2300: loss 0.7027, time 626.95ms, mfu 0.28%
iter 2310: loss 0.7354, time 577.54ms, mfu 0.28%
iter 2320: loss 0.7237, time 579.48ms, mfu 0.28%
iter 2330: loss 0.6985, time 585.14ms, mfu 0.29%
iter 2340: loss 0.6957, time 585.70ms, mfu 0.29%
iter 2350: loss 0.7570, time 586.23ms, mfu 0.29%
iter 2360: loss 0.7186, time 575.34ms, mfu 0.29%
iter 2370: loss 0.7336, time 579.57ms, mfu 0.29%
iter 2380: loss 0.6807, time 591.51ms, mfu 0.29%
iter 2390: loss 0.6847, time 581.00ms, mfu 0.29%
iter 2400: loss 0.7064, time 583.94ms, mfu 0.29%
iter 2410: loss 0.7312, time 577.80ms, mfu 0.29%
iter 2420: loss 0.6640, time 579.40ms, mfu 0.30%
iter 2430: loss 0.7089, time 581.47ms, mfu 0.30%
iter 2440: loss 0.6699, time 587.47ms, mfu 0.30%
iter 2450: loss 0.7043, time 577.66ms, mfu 0.30%
iter 2460: loss 0.6814, time 577.39ms, mfu 0.30%
iter 2470: loss 0.6785, time 575.62ms, mfu 0.30%
iter 2480: loss 0.7064, time 578.91ms, mfu 0.30%
iter 2490: loss 0.6902, time 582.11ms, mfu 0.30%
step 2500: train loss 0.6885, val loss 0.6923
saving checkpoint to out-exp3-head32
iter 2500: loss 0.6740, time 82365.15ms, mfu 0.27%
iter 2510: loss 0.6860, time 580.96ms, mfu 0.27%
iter 2520: loss 0.6972, time 583.12ms, mfu 0.28%
iter 2530: loss 0.6976, time 583.83ms, mfu 0.28%
iter 2540: loss 0.6856, time 582.95ms, mfu 0.28%
iter 2550: loss 0.6807, time 575.74ms, mfu 0.28%
iter 2560: loss 0.6842, time 579.32ms, mfu 0.28%
iter 2570: loss 0.6783, time 580.26ms, mfu 0.29%
iter 2580: loss 0.6908, time 584.92ms, mfu 0.29%
iter 2590: loss 0.7273, time 597.79ms, mfu 0.29%
iter 2600: loss 0.6798, time 589.84ms, mfu 0.29%
iter 2610: loss 0.6683, time 583.86ms, mfu 0.29%
iter 2620: loss 0.6875, time 578.93ms, mfu 0.29%
iter 2630: loss 0.6539, time 579.88ms, mfu 0.29%
iter 2640: loss 0.7117, time 595.75ms, mfu 0.29%
iter 2650: loss 0.6842, time 580.66ms, mfu 0.29%
iter 2660: loss 0.6880, time 576.89ms, mfu 0.29%
iter 2670: loss 0.6912, time 580.27ms, mfu 0.30%
iter 2680: loss 0.6812, time 579.86ms, mfu 0.30%
iter 2690: loss 0.6519, time 583.25ms, mfu 0.30%
iter 2700: loss 0.7095, time 581.68ms, mfu 0.30%
iter 2710: loss 0.6684, time 579.46ms, mfu 0.30%
iter 2720: loss 0.7039, time 582.76ms, mfu 0.30%
iter 2730: loss 0.7036, time 580.23ms, mfu 0.30%
iter 2740: loss 0.6529, time 582.71ms, mfu 0.30%
step 2750: train loss 0.6738, val loss 0.6726
saving checkpoint to out-exp3-head32
iter 2750: loss 0.6744, time 82454.40ms, mfu 0.27%
iter 2760: loss 0.6867, time 576.64ms, mfu 0.27%
iter 2770: loss 0.6755, time 589.40ms, mfu 0.28%
iter 2780: loss 0.6666, time 581.49ms, mfu 0.28%
iter 2790: loss 0.6148, time 582.58ms, mfu 0.28%
iter 2800: loss 0.6871, time 588.90ms, mfu 0.28%
iter 2810: loss 0.6497, time 578.89ms, mfu 0.28%
iter 2820: loss 0.6686, time 578.68ms, mfu 0.29%
iter 2830: loss 0.6731, time 581.15ms, mfu 0.29%
iter 2840: loss 0.6696, time 582.78ms, mfu 0.29%
iter 2850: loss 0.6579, time 591.95ms, mfu 0.29%
iter 2860: loss 0.6312, time 579.95ms, mfu 0.29%
iter 2870: loss 0.6746, time 579.02ms, mfu 0.29%
iter 2880: loss 0.6291, time 578.69ms, mfu 0.29%
iter 2890: loss 0.6421, time 583.80ms, mfu 0.29%
iter 2900: loss 0.6514, time 580.78ms, mfu 0.29%
iter 2910: loss 0.6505, time 585.80ms, mfu 0.30%
iter 2920: loss 0.6669, time 577.72ms, mfu 0.30%
iter 2930: loss 0.6889, time 587.73ms, mfu 0.30%
iter 2940: loss 0.6534, time 582.69ms, mfu 0.30%
iter 2950: loss 0.6650, time 579.00ms, mfu 0.30%
iter 2960: loss 0.6559, time 585.38ms, mfu 0.30%
iter 2970: loss 0.6680, time 579.82ms, mfu 0.30%
iter 2980: loss 0.6338, time 574.92ms, mfu 0.30%
iter 2990: loss 0.6755, time 579.53ms, mfu 0.30%
step 3000: train loss 0.6597, val loss 0.6605
saving checkpoint to out-exp3-head32
iter 3000: loss 0.6469, time 82565.43ms, mfu 0.27%
iter 3010: loss 0.6887, time 580.32ms, mfu 0.27%
iter 3020: loss 0.6215, time 580.20ms, mfu 0.28%
iter 3030: loss 0.6384, time 578.75ms, mfu 0.28%
iter 3040: loss 0.6427, time 578.90ms, mfu 0.28%
iter 3050: loss 0.6584, time 584.21ms, mfu 0.28%
iter 3060: loss 0.6916, time 583.85ms, mfu 0.28%
iter 3070: loss 0.6918, time 583.43ms, mfu 0.29%
iter 3080: loss 0.6766, time 576.69ms, mfu 0.29%
iter 3090: loss 0.6288, time 584.52ms, mfu 0.29%
iter 3100: loss 0.6598, time 583.25ms, mfu 0.29%
iter 3110: loss 0.6459, time 584.09ms, mfu 0.29%
iter 3120: loss 0.6530, time 594.37ms, mfu 0.29%
iter 3130: loss 0.6804, time 579.29ms, mfu 0.29%
iter 3140: loss 0.6381, time 575.16ms, mfu 0.29%
iter 3150: loss 0.6666, time 580.44ms, mfu 0.29%
iter 3160: loss 0.6575, time 582.24ms, mfu 0.30%
iter 3170: loss 0.6448, time 600.19ms, mfu 0.30%
iter 3180: loss 0.6890, time 576.06ms, mfu 0.30%
iter 3190: loss 0.6255, time 576.62ms, mfu 0.30%
iter 3200: loss 0.6508, time 584.55ms, mfu 0.30%
iter 3210: loss 0.6684, time 581.77ms, mfu 0.30%
iter 3220: loss 0.6467, time 581.90ms, mfu 0.30%
iter 3230: loss 0.6388, time 578.59ms, mfu 0.30%
iter 3240: loss 0.6797, time 576.75ms, mfu 0.30%
step 3250: train loss 0.6496, val loss 0.6520
saving checkpoint to out-exp3-head32
iter 3250: loss 0.6848, time 82605.57ms, mfu 0.27%
iter 3260: loss 0.6506, time 585.07ms, mfu 0.27%
iter 3270: loss 0.6378, time 582.12ms, mfu 0.28%
iter 3280: loss 0.6216, time 592.91ms, mfu 0.28%
iter 3290: loss 0.6363, time 576.53ms, mfu 0.28%
iter 3300: loss 0.6492, time 579.34ms, mfu 0.28%
iter 3310: loss 0.6764, time 583.57ms, mfu 0.28%
iter 3320: loss 0.6757, time 580.51ms, mfu 0.29%
iter 3330: loss 0.6402, time 579.60ms, mfu 0.29%
iter 3340: loss 0.6517, time 578.85ms, mfu 0.29%
iter 3350: loss 0.6030, time 579.65ms, mfu 0.29%
iter 3360: loss 0.6484, time 579.89ms, mfu 0.29%
iter 3370: loss 0.6719, time 584.17ms, mfu 0.29%
iter 3380: loss 0.6311, time 575.51ms, mfu 0.29%
iter 3390: loss 0.6361, time 584.54ms, mfu 0.29%
iter 3400: loss 0.6707, time 583.63ms, mfu 0.30%
iter 3410: loss 0.6486, time 581.35ms, mfu 0.30%
iter 3420: loss 0.6482, time 585.97ms, mfu 0.30%
iter 3430: loss 0.6356, time 582.52ms, mfu 0.30%
iter 3440: loss 0.6380, time 575.78ms, mfu 0.30%
iter 3450: loss 0.6225, time 575.15ms, mfu 0.30%
iter 3460: loss 0.6270, time 594.00ms, mfu 0.30%
iter 3470: loss 0.6339, time 586.14ms, mfu 0.30%
iter 3480: loss 0.6510, time 584.72ms, mfu 0.30%
iter 3490: loss 0.6283, time 591.85ms, mfu 0.30%
step 3500: train loss 0.6386, val loss 0.6429
saving checkpoint to out-exp3-head32
iter 3500: loss 0.6232, time 82829.43ms, mfu 0.27%
iter 3510: loss 0.6704, time 577.65ms, mfu 0.27%
iter 3520: loss 0.6341, time 579.00ms, mfu 0.28%
iter 3530: loss 0.6755, time 616.26ms, mfu 0.28%
iter 3540: loss 0.6169, time 608.94ms, mfu 0.28%
iter 3550: loss 0.6316, time 604.16ms, mfu 0.28%
iter 3560: loss 0.6265, time 635.07ms, mfu 0.28%
iter 3570: loss 0.6596, time 610.86ms, mfu 0.28%
iter 3580: loss 0.6583, time 610.49ms, mfu 0.28%
iter 3590: loss 0.6045, time 615.34ms, mfu 0.28%
iter 3600: loss 0.6303, time 608.65ms, mfu 0.28%
iter 3610: loss 0.6258, time 615.11ms, mfu 0.28%
iter 3620: loss 0.6241, time 634.27ms, mfu 0.28%
iter 3630: loss 0.6319, time 607.74ms, mfu 0.28%
iter 3640: loss 0.6559, time 611.20ms, mfu 0.28%
iter 3650: loss 0.6118, time 644.80ms, mfu 0.28%
iter 3660: loss 0.6375, time 605.35ms, mfu 0.28%
iter 3670: loss 0.6446, time 614.38ms, mfu 0.28%
iter 3680: loss 0.6274, time 616.96ms, mfu 0.28%
iter 3690: loss 0.6277, time 618.12ms, mfu 0.28%
iter 3700: loss 0.6514, time 609.98ms, mfu 0.28%
iter 3710: loss 0.6491, time 605.53ms, mfu 0.28%
iter 3720: loss 0.6500, time 607.76ms, mfu 0.28%
iter 3730: loss 0.6283, time 605.58ms, mfu 0.28%
iter 3740: loss 0.6226, time 607.67ms, mfu 0.29%
step 3750: train loss 0.6295, val loss 0.6297
saving checkpoint to out-exp3-head32
iter 3750: loss 0.6139, time 87413.28ms, mfu 0.26%
iter 3760: loss 0.6130, time 654.45ms, mfu 0.26%
iter 3770: loss 0.6499, time 656.08ms, mfu 0.26%
iter 3780: loss 0.6424, time 651.56ms, mfu 0.26%
iter 3790: loss 0.6323, time 683.39ms, mfu 0.26%
iter 3800: loss 0.6288, time 648.39ms, mfu 0.26%
iter 3810: loss 0.6514, time 644.98ms, mfu 0.26%
iter 3820: loss 0.6567, time 649.49ms, mfu 0.26%
iter 3830: loss 0.6439, time 671.97ms, mfu 0.26%
